JobTitle,Company,Location,Summary,PostDate,ExtractDate,Salary,JobUrl,PythonFind,HadoopFind,SASFind,RFind,javaFind,ExcelFind,SQLFind,SPSSFind,tableauFind,SparkFind,communicationFind,presentationFind,problemsolvingFind,projectmanagementFind,consultingFind,leadershipFind
Data Scientist I,TD Bank,"Toronto, ON",We are looking for someone to work as part of a trailblazing team of data scientists who create groundbreaking analytical solutions that improve our core work…,PostedJust posted,2022-06-17,Full-time,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B7zz2OmW4LKSX5pdXcoiPpS4pY9scnjwFl6mzk96G03JzBfenFjYshLvA3LODEO_Vb171dqgVrZGm5OVp6O3mMywnCFDTOtAJVQGkcblyVAuIRH6mqdl0l_aBNlxwbPjzI0WZIblRHc6ndy1N4WT9HkEF54iVO1RJdgWaygB2FusjUKy22MlPxwFrnqn2gXFbJccmj_MoA_C0Sh0PzKIOk_O-u1NknaNy988vQkxuLAztX-SgVed_yY0bG-FwyxGTG-FdrmDizIWGQbHeI1tEwgRra6zPYNzdahGESLz7CC85_32dClPBCZ4eGl7R3HmC-eiMHCfyCvWVG3GiTjcJk_ufuEfgWfAzV6DWHj5K2pX80v651Xq9PjUQA0BYTq2RsRHqkraHZYZGgoPdfeZSimBpEemlBrItmjxZaLwNzA3SWTgaCYagLKHdkE-5qzVxOPxCb1XpjyHYuCMuU6gxPzFERu8Kz_yAET4DnmByf2pTa3vi6R5ZLQCoOydxQro_UpfxN6l6fUHF-_wULw3HAMJ1IJXclIxU4Jt2_PNXQDM4HhViYykfA6hQ4kzYAoLSbqZNeDH0ws9aAxeovv3y2L0oDvoSX2Yn4lQ17-tmYKH2r6RaE5SAF9S2lvDUkOjFjz8O2aV8OIA==&p=0&fvj=0&vjs=3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Data Scientist, Consumer Finance Science",Amazon Dev Centre Canada ULC,"Toronto, ON+6 locations","Collaborating with our dedicated product, data engineering, and software development teams to create production implementations for large-scale data analysis.",Posted3 days ago,2022-06-17,Full-time,https://indeed.com/rc/clk?jk=790af72c28d7eac3&fccid=fe2d21eef233e94a&vjs=3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Applied Scientist - Text IQ,Relativity,Remote in Ontario,"Strong computer science fundamentals in algorithms, data structures and computational complexity.",Posted8 days ago,2022-06-17,Full-time,https://indeed.com/rc/clk?jk=c03641578aa6eec6&fccid=9a386f5dac9ffc6c&vjs=3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist/Engineer,CHEO,"Temporarily Remote in Ottawa, ON","Understanding of data structures, data modeling and software architecture.",EmployerActive 3 days ago,2022-06-17,nan,https://indeed.com/company/CHEO/jobs/Data-Scientist-Engineer-8972b9cc8e2208f5?fccid=5981e233830353e4&vjs=3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
Data Scientist,Royal Bank of Canada,"Toronto, ON","Strong data profiling, cleaning, mining and technical documentation skills.",PostedJust posted,2022-06-17,Full-time,https://indeed.com/rc/clk?jk=045a970c0fa2aadb&fccid=537b899e30af3338&vjs=3,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
Data Scientist Intern (16 month),IBM Canada,"Markham, ON","One of data visualization, data cleaning, machine learning, deep learning, visual recognition, text mining, or NLP;",Posted4 days ago,2022-06-17,Full-time +1,https://indeed.com/rc/clk?jk=491dd7595d7b7ced&fccid=de71a49b535e21cb&vjs=3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Data Science Co-op - Fall 2022,PepsiCo,"Toronto, ON",Deliver advanced analytics and data science projects from end-to-end.,Posted1 day ago,2022-06-17,Full-time +1,https://indeed.com/rc/clk?jk=015d58d651917e72&fccid=2973259ddc967948&vjs=3,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
senior data scientist,Royal Bank of Canada,"Toronto, ON",3-5 years of experience in data solutions and applying data techniques.,PostedJust posted,2022-06-17,Full-time,https://indeed.com/rc/clk?jk=0ac83f29225c19a0&fccid=537b899e30af3338&vjs=3,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
DATA SCIENTIST,"Ministry of Labour, Training and Skills...","Toronto, ON",Creating data visualization and communication tools and telling strong data stories;,Posted9 days ago,2022-06-17,"$74,877–$110,338 a year",https://indeed.com/rc/clk?jk=736322b2a753c38b&fccid=50fff88545069ba4&vjs=3,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
Data Scientist/Bioinformatician,SickKids,"Toronto, ON",Analysis of biomedical data sets.,Posted13 days ago,2022-06-17,Full-time,https://indeed.com/rc/clk?jk=ae77fbcb9e765a4c&fccid=9645047fb7b1d4e3&vjs=3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,SomaDetect,"Remote in Kitchener, ON","Work collaboratively with other data scientists, software developers and engineers to integrate algorithms into a complete product.",PostedToday,2022-06-17,Full-time,https://indeed.com/company/SomaDetect/jobs/Data-Scientist-f3837dd143b06fb1?fccid=de462bcd5f1a12fd&vjs=3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
Capital Markets Data Scientist (L5),big river technologies Inc,"Remote in Gananoque, ON",Assist the development team in deconstructing data into applicable domain models.,PostedToday,2022-06-17,nan,https://indeed.com/rc/clk?jk=06feaab03ee89bff&fccid=2311dbdc6024dded&vjs=3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Business Intellience Specialist/ Data Scientist,Canadian Nuclear Laboratories,"Chalk River, ON","The Business Intelligence Specialist develops a thorough understanding of the data in existence, makes it practically usable by converting legacy data into data…",Posted30+ days ago,2022-06-17,"$83,800–$125,300 a year",https://indeed.com/company/Canadian-Nuclear-Laboratories/jobs/Business-Intellience-Specialist-26abfcef03114198?fccid=a0da53533519eae5&vjs=3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Staff Data Scientist,Faire,"Remote in Kitchener, ON",At Faire we build elegant and efficient products to deliver superior customer experiences and enhance marketplace efficiency at the same time.,Posted7 days ago,2022-06-17,nan,https://indeed.com/rc/clk?jk=56168f865f29d575&fccid=f3a36f726f745c17&vjs=3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Data Scientist: Threat Analytics,f5,"Remote in Field, ON",This role has an engaging mix of data analytics and customer/business engagement.,Posted10 days ago,2022-06-17,Full-time,https://indeed.com/rc/clk?jk=caac8139ee59258e&fccid=093a18bf96b31ae1&vjs=3,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
